trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.4902608213406994}",20,0,-10.085568148661604,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.40079917207997545}",25,0,-69.03978445900876,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.30733286997841935}",20,0,-5.586690569163672,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.1, 'e': 0.2107957994307797}",20,0,-81.1197129390497,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.11215252693505398}",25,14,22.118595377959192,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.01238866346289056}",35,7,-7.622075755148149,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.1, 'e': 0.08749898343944727}",20,0,-39.9316603908939,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.18651236942257576}",25,0,-107.3371257580256,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.1, 'e': 0.28366218546322625}",20,8,7.3237825271232655,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.37797774271298107}",20,0,-37.17801019120032,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.4685166713003771}",20,0,-64.32165441321422,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.1, 'e': 0.5543743361791615}",20,0,-85.38949604067965,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.6346928759426347}",30,18,-23.47222546567553,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.70866977429126}",25,0,-80.64162249008898,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.7755658785102502}",25,14,-3.709145967615733,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.8347127848391598}",25,0,-46.2432974222546,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 0.1, 'e': 0.8855195169413194}",30,0,-140.56396047458358,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
59,False,"{'a': 0.1, 'e': 0.9274784307440359}",20,0,-107.30522736619778,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.960170286650366}",25,7,-60.27730993471023,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.1, 'e': 0.9832684384425847}",25,0,-72.54742855964975,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.9965420970232175}",25,4,-79.25976009895588,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.1, 'e': 0.9998586363834151}",20,0,-133.92005644286115,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.1, 'e': 0.9931849187581926}",20,0,-126.33855502754211,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
65,False,"{'a': 0.1, 'e': 0.9765876257280235}",25,0,-106.85370154233311,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
66,False,"{'a': 0.1, 'e': 0.9502325919585293}",20,0,-106.06289510265998,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
67,False,"{'a': 0.1, 'e': 0.9143831482353194}",20,0,4.493893571843763,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.1, 'e': 0.8693974903498248}",25,0,-135.56175672565846,"{0: 12, 1: 1, 2: 10, 3: 2, 4: 0}",0
69,False,"{'a': 0.1, 'e': 0.8157251001253568}",20,0,-136.60526447075816,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
70,False,"{'a': 0.1, 'e': 0.7539022543433046}",25,0,-97.16124920560722,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
71,False,"{'a': 0.1, 'e': 0.6845466664428059}",20,0,-64.85588138671653,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.6083513145322546}",25,0,-60.01116542203542,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.5260775173811045}",25,0,-86.50886206293472,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
74,False,"{'a': 0.1, 'e': 0.43854732757439036}",25,5,-93.06892867353933,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
75,False,"{'a': 0.1, 'e': 0.3466353178350258}",20,0,-44.73161648398298,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.1, 'e': 0.25125984258225487}",20,2,-47.447316604440786,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.1, 'e': 0.15337386203786435}",20,0,-97.3170838855024,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.1, 'e': 0.05395542056264886}",25,0,-2.065668742975289,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.04600212563953695}",30,12,34.28094647986537,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.14550003380861354}",25,16,-0.9689765433436728,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.2435441537357911}",20,9,-29.9604671411337,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.1, 'e': 0.3391548609838362}",25,15,18.736497065760126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.4313768449706208}",25,0,-62.618262610102725,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.1, 'e': 0.5192886541166856}",20,0,-101.61687330539003,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.1, 'e': 0.6020119026848236}",20,0,-51.85006334260135,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.1, 'e': 0.6787200473200125}",35,13,-33.65193816627346,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.7486466455973999}",20,2,-38.218510453237684,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.1, 'e': 0.811093014061656}",20,0,-156.91080725314103,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
89,False,"{'a': 0.1, 'e': 0.8654352092411123}",25,0,-167.23817365317473,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
90,False,"{'a': 0.1, 'e': 0.9111302618846769}",25,0,-41.877678816557804,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
91,False,"{'a': 0.1, 'e': 0.9477216021311119}",30,0,-136.25163126614166,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
92,False,"{'a': 0.1, 'e': 0.974843621404164}",20,0,-68.37422874978311,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
93,False,"{'a': 0.1, 'e': 0.9922253254526034}",25,0,-144.7543348498851,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
94,False,"{'a': 0.1, 'e': 0.9996930420352065}",30,0,-58.24557377423842,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
